,CROPS,SOIL,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
0,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
1,rice,Alluvia or loamy and clayey soil,5.8,150.0,"irrigated,rainfall",24.94,1846.0,68.23
2,rice,Alluvia or loamy and clayey soil,6.0,150.0,"irrigated,rainfall",24.81,1841.0,67.05
3,rice,Alluvia or loamy and clayey soil,6.1,150.0,"irrigated,rainfall",23.09,1332.0,72.31
4,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
5,rice,Alluvia or loamy and clayey soil,5.7,150.0,"irrigated,rainfall",24.9,1828.0,69.57
6,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
7,rice,Alluvia or loamy and clayey soil,5.5,150.0,"irrigated,rainfall",24.59,1832.0,70.01
8,rice,Alluvia or loamy and clayey soil,5.9,150.0,"irrigated,rainfall",25.17,1821.0,69.22
9,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
10,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
11,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
12,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.15,932.0,75.35
13,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
14,rice,Alluvia or loamy and clayey soil,5.3,150.0,"irrigated,rainfall",25.58,1782.0,64.68
15,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
16,rice,Alluvia or loamy and clayey soil,5.9,150.0,"irrigated,rainfall",25.14,1821.0,69.24
17,rice,Alluvia or loamy and clayey soil,5.9,150.0,"irrigated,rainfall",25.23,1846.0,66.74
18,rice,Alluvia or loamy and clayey soil,5.1,150.0,"irrigated,rainfall",23.9,1762.0,66.28
19,rice,Alluvia or loamy and clayey soil,5.1,150.0,"irrigated,rainfall",20.36,941.0,76.62
20,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
21,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
22,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",25.24,1746.0,69.33
23,rice,Alluvia or loamy and clayey soil,5.2,150.0,"irrigated,rainfall",24.76,1790.0,65.98
24,rice,Alluvia or loamy and clayey soil,6.2,150.0,"irrigated,rainfall",25.34,1822.0,68.69
25,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
26,rice,Alluvia or loamy and clayey soil,6.0,150.0,"irrigated,rainfall",25.27,1818.0,69.14
27,rice,Alluvia or loamy and clayey soil,6.0,150.0,"irrigated,rainfall",25.22,1849.0,67.0
28,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",25.62,1804.0,68.89
29,rice,Alluvia or loamy and clayey soil,5.4,150.0,"irrigated,rainfall",20.45,933.0,78.31
30,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
31,rice,Alluvia or loamy and clayey soil,5.7,150.0,"irrigated,rainfall",24.81,1830.0,69.7
32,rice,Alluvia or loamy and clayey soil,5.1,150.0,"irrigated,rainfall",23.75,1761.0,66.39
33,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
34,rice,Alluvia or loamy and clayey soil,6.3,150.0,"irrigated,rainfall",25.36,1834.0,67.98
35,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
36,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
37,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
38,rice,Alluvia or loamy and clayey soil,6.2,150.0,"irrigated,rainfall",23.97,1563.0,70.37
39,rice,Alluvia or loamy and clayey soil,5.1,150.0,"irrigated,rainfall",23.82,1765.0,66.42
40,rice,Alluvia or loamy and clayey soil,5.8,150.0,"irrigated,rainfall",25.02,1824.0,69.39
41,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",25.04,1756.0,69.04
42,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
43,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.33,1071.0,73.25
44,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
45,rice,Alluvia or loamy and clayey soil,5.3,150.0,"irrigated,rainfall",24.01,1839.0,69.46
46,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.86
47,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
48,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.61,1802.0,68.9
49,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
50,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
51,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
52,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
53,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",24.83,1726.0,69.3
54,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
55,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",25.56,1805.0,68.93
56,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",21.04,1657.0,64.11
57,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
58,rice,Alluvia or loamy and clayey soil,6.0,150.0,"irrigated,rainfall",22.58,1247.0,72.69
59,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
60,rice,Alluvia or loamy and clayey soil,5.1,150.0,"irrigated,rainfall",20.34,949.0,76.63
61,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
62,rice,Alluvia or loamy and clayey soil,5.5,150.0,"irrigated,rainfall",24.99,1831.0,66.57
63,rice,Alluvia or loamy and clayey soil,5.4,150.0,"irrigated,rainfall",22.83,1630.0,71.26
64,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.09,918.0,79.38
65,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
66,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
67,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
68,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.08,918.0,79.81
69,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",24.33,1679.0,70.08
70,rice,Alluvia or loamy and clayey soil,5.8,150.0,"irrigated,rainfall",22.1,1082.0,74.7
71,rice,Alluvia or loamy and clayey soil,5.9,150.0,"irrigated,rainfall",25.06,1846.0,67.26
72,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.75
73,rice,Alluvia or loamy and clayey soil,5.7,150.0,"irrigated,rainfall",25.36,1825.0,65.92
74,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
75,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.29,1774.0,69.12
76,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.6,1804.0,68.9
77,rice,Alluvia or loamy and clayey soil,5.5,150.0,"irrigated,rainfall",24.55,1842.0,68.29
78,rice,Alluvia or loamy and clayey soil,6.1,150.0,"irrigated,rainfall",25.25,1839.0,67.85
79,rice,Alluvia or loamy and clayey soil,6.4,150.0,"irrigated,rainfall",24.96,1669.0,69.77
80,rice,Alluvia or loamy and clayey soil,5.1,150.0,"irrigated,rainfall",22.74,1846.0,70.46
81,rice,Alluvia or loamy and clayey soil,5.6,150.0,"irrigated,rainfall",23.93,1781.0,68.68
82,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
83,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
84,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
85,rice,Alluvia or loamy and clayey soil,5.3,150.0,"irrigated,rainfall",24.37,1820.0,67.33
86,rice,Alluvia or loamy and clayey soil,6.5,150.0,"irrigated,rainfall",25.63,1804.0,68.89
87,rice,Alluvia or loamy and clayey soil,5.0,150.0,"irrigated,rainfall",20.07,918.0,79.89
