,CROPS,TYPE_OF_CROP,SOIL,SOIL_PH_LOW,SOIL_PH_HIGH,CROPDURATION_MIN,CROPDURATION_MAX,MIN_TEMP,MAX_TEMP,WATER_REQUIRED_MIN,WATER_REQUIRED_MAX,RELATIVE_HUMIDITY_MIN,RELATIVE_HUMIDITY_MAX
0,rice,cereals,Alluvia or loamy and clayey soil,4,5,843.4228172,940.7302713,5,16,870.2380112,659.871891,16,18
1,wheat,cereals,Well Drained,4,5,358.6071826,413.3890448,5,16,684.1843705,1406.553478,16,18
2,maize,millets,temperate podzols to the leached red soils of the tropics. ,4,5,411.5212067,553.0159761,5,16,1233.739437,2368.19863,16,18
3,sorghum,millets,well-drained loamy soils,4,5,32.71903184,81.86132034,5,16,1024.416531,922.8681896,16,18
4,Pearl millet,millets,"clay, clay loam, or sandy loam soils",4,5,289.5250817,454.038257,5,16,1440.088799,2108.242421,16,18
5,ragi,millets,"red, black, sandy, loamy and shallow black soils.",4,5,553.8026161,758.7132152,5,16,1616.179433,519.6531589,16,18
6,panivaragu,millets,sandy loam to clays of black cotton soils,4,5,426.7633307,369.9011212,5,16,436.7448339,1468.983918,16,18
7,samai,millets,Loamy Soil,4,5,792.738885,52.41841553,5,16,582.2901388,1867.324119,16,18
8,thinai,millets,"alluvial,loamy ",4,5,231.9402146,919.6084965,5,16,587.7125945,2208.506102,16,18
9,varagu,millets,clay-based soil,4,5,141.2170792,850.8108521,5,16,1654.448027,771.5941503,16,18
10,kudiraivali,millets,Loamy Soil,4,5,343.3550787,802.8648105,5,16,784.4614193,419.1567366,16,18
11,blackgram,pulses,sandy soils to heavy cotton soils,4,5,621.8774105,158.4946025,5,16,1381.128647,2257.673856,16,18
12,greengram,pulses,well-drained sandy loams or sandy soils ,4,5,422.1251219,788.3110742,5,16,1732.153003,1694.017788,16,18
13,cowpea,pulses, well-drained sandy loams or sandy soils ,4,5,192.7313034,152.0999135,5,16,951.9930031,1651.595786,16,18
14,gardenlablab,pulses,wide range of soils,4,5,928.2419165,473.3592631,5,16,1104.99872,2185.151455,16,18
15,fieldlablab,pulses,Well drained loamy soil,4,5,877.517233,158.8895839,5,16,1247.540658,1034.98047,16,18
16,bengalgram,pulses,medium to heavy black soil,4,5,539.685147,265.7824928,5,16,1746.473175,2037.438223,16,18
17,horsegram,pulses, light to heavy soils ,4,5,543.9278634,141.2215758,5,16,1264.443489,536.1706975,16,18
18,redgram,pulses,deep loam soils,4,5,32.75966357,961.2346248,5,16,1466.609287,1872.956472,16,18
19,soyabean,pulses,"Well-drained, Loamy Soil",4,5,153.5852941,385.6217447,5,16,801.0819369,546.1934758,16,18
20,swordbean,pulses, well-drained sandy loams or sandy soils ,4,5,341.4151154,235.9668437,5,16,1675.139629,542.4769207,16,18
21,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,4,5,538.8474631,532.9878376,5,16,1794.105038,978.9122434,16,18
