,CROPS,TYPE_OF_CROP,SOIL,SOIL_PH,CROP_DURATION,TEMP,WATER_SOURCE,WATER_REQUIRED,RELATIVE_HUMIDITY
0,rice,cereals,Alluvia or loamy and clayey soil,6.4,150,39.91,"irrigated,rainfall",2242,79.09
1,rice,cereals,Alluvia or loamy and clayey soil,5.0,150,31.95,"irrigated,rainfall",906,79.17
2,rice,cereals,Alluvia or loamy and clayey soil,7.5,150,26.04,"irrigated,rainfall",2200,69.15
3,rice,cereals,Alluvia or loamy and clayey soil,6.4,150,20.87,"irrigated,rainfall",2390,75.78
4,rice,cereals,Alluvia or loamy and clayey soil,5.4,150,22.85,"irrigated,rainfall",1644,77.28
5,rice,cereals,Alluvia or loamy and clayey soil,7.9,150,23.65,"irrigated,rainfall",1672,60.24
6,rice,cereals,Alluvia or loamy and clayey soil,5.6,150,39.68,"irrigated,rainfall",1509,76.46
7,rice,cereals,Alluvia or loamy and clayey soil,5.8,150,27.71,"irrigated,rainfall",1458,74.27
8,rice,cereals,Alluvia or loamy and clayey soil,5.3,150,34.65,"irrigated,rainfall",2039,73.64
9,rice,cereals,Alluvia or loamy and clayey soil,5.8,150,25.33,"irrigated,rainfall",1782,76.83
10,wheat,cereals,Well Drained,6.2,85,23.96,"irrigated,rainfall",550,52.09
11,wheat,cereals,Well Drained,6.1,83,21.62,"irrigated,rainfall",599,53.92
12,wheat,cereals,Well Drained,7.0,89,21.2,"irrigated,rainfall",545,54.21
13,wheat,cereals,Well Drained,6.6,87,21.87,"irrigated,rainfall",482,55.46
14,wheat,cereals,Well Drained,6.0,86,21.58,"irrigated,rainfall",573,58.88
15,wheat,cereals,Well Drained,7.0,88,21.92,"irrigated,rainfall",636,59.65
16,wheat,cereals,Well Drained,6.3,86,22.75,"irrigated,rainfall",460,52.36
17,wheat,cereals,Well Drained,6.8,81,22.46,"irrigated,rainfall",631,59.66
18,wheat,cereals,Well Drained,6.5,90,21.1,"irrigated,rainfall",544,53.7
19,wheat,cereals,Well Drained,6.8,83,21.24,"irrigated,rainfall",609,57.04
20,maize,millets,temperate podzols to the leached red soils of the tropics. ,5.6,108,19.93,"irrigated,rainfall",750,74.38
21,maize,millets,temperate podzols to the leached red soils of the tropics. ,6.3,105,19.35,"irrigated,rainfall",557,73.34
