,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
0,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",37.51,2467.0,79.86
1,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",32.57,2449.0,79.5
2,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",34.78,2445.0,79.56
3,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.8,150.0,"irrigated,rainfall",30.01,2452.0,79.6
4,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",32.12,2440.0,79.83
5,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",32.43,2408.0,79.55
6,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",34.19,2465.0,79.81
7,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",32.34,2461.0,79.73
8,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",29.19,2456.0,79.78
9,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.9,150.0,"irrigated,rainfall",34.42,2448.0,79.51
10,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.27,615.0,53.2
11,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.26,617.0,53.15
12,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.32,612.0,52.93
13,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.31,609.0,53.14
14,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.27,610.0,53.1
15,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.29,606.0,53.32
16,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.18,598.0,53.49
17,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.19,594.0,53.26
18,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.28,611.0,53.67
19,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,80.0,"irrigated,rainfall",23.2,588.0,54.34
20,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",22.03,766.0,73.38
21,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.98,772.0,75.83
22,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.91,768.0,75.05
23,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.81,786.0,74.47
24,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,109.0,"irrigated,rainfall",22.19,754.0,71.22
25,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",22.06,777.0,74.67
26,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.77,790.0,72.18
27,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.76,773.0,77.97
28,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.77,780.0,73.95
29,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,7.0,109.0,"irrigated,rainfall",21.92,770.0,77.39
30,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.2,105.0,"irrigated,rainfall",22.17,529.0,99.13
