,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
0,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.7,150.0,"irrigated,rainfall",37.74,1656.0,62.88
1,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.3,150.0,"irrigated,rainfall",24.02,1890.0,75.87
2,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.4,150.0,"irrigated,rainfall",31.11,1477.0,73.5
3,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.2,150.0,"irrigated,rainfall",28.82,1388.0,77.45
4,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,6.6,150.0,"irrigated,rainfall",29.73,1919.0,69.66
5,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,6.1,150.0,"irrigated,rainfall",31.88,1816.0,68.18
6,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.1,150.0,"irrigated,rainfall",27.32,2032.0,71.75
7,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.7,150.0,"irrigated,rainfall",28.22,1492.0,75.82
8,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.4,150.0,"irrigated,rainfall",33.88,1533.0,65.31
9,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.4,150.0,"irrigated,rainfall",33.81,1542.0,65.4
10,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.4,150.0,"irrigated,rainfall",33.76,1547.0,65.45
11,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.1,150.0,"irrigated,rainfall",27.32,2032.0,71.75
12,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.2,150.0,"irrigated,rainfall",38.89,1475.0,60.81
13,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.9,150.0,"irrigated,rainfall",32.7,1719.0,67.11
14,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.0,150.0,"irrigated,rainfall",38.34,1017.0,69.29
15,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.9,150.0,"irrigated,rainfall",31.98,1759.0,67.6
16,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,6.8,150.0,"irrigated,rainfall",26.11,1783.0,75.13
17,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.2,150.0,"irrigated,rainfall",37.52,1303.0,65.1
18,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.1,150.0,"irrigated,rainfall",27.57,2025.0,71.52
